from_ksh,to_ksh,to_name,road_km,drive_minutes,haversine_km
17376,29267,Tác,21.4,18,6.8
17376,20206,Seregélyes,27.1,25,7.7
17376,06734,Csősz,28.2,28,8.5
17376,25344,Sárkeresztúr,9.0,9,8.8
17376,33321,Soponya,13.9,24,9.0
17376,25140,Sárosd,17.1,18,11.2
17376,28705,Szabadbattyán,19.2,17,12.0
17376,16683,Káloz,16.7,18,13.5
17376,31538,Sárszentágota,14.0,14,13.9
17376,17525,Polgárdi,29.3,23,14.8
17376,13259,Szabadegyháza,25.1,26,14.8
17376,10296,Gárdony,28.3,25,15.1
17376,14827,Székesfehérvár,17.3,19,15.2
17376,32364,Nagylók,27.5,29,15.5
17376,28990,Kisláng,27.6,38,15.6
17376,17622,Úrhida,23.8,26,16.6
17376,23427,Hantos,23.5,25,16.7
17376,11776,Sárszentmihály,21.6,24,16.7
17376,25751,Pákozd,25.0,22,16.9
17376,06576,Mezőszentgyörgy,43.1,47,17.8
12441,09557,Tomajmonostora,18.7,21,7.5
12441,16230,Tiszaderzs,10.1,13,7.8
12441,22770,Tiszabura,9.0,11,8.5
12441,22789,Tiszaszentimre,20.2,25,10.0
12441,30304,Tiszagyenda,21.1,28,11.9
12441,18281,Kisköre,16.6,23,12.2
12441,22567,Kunhegyes,13.7,19,12.3
12441,20181,Tiszaroff,22.0,28,13.1
12441,07083,Tiszanána,23.8,31,14.0
12441,07852,Tiszaszőlős,19.4,25,14.6
12441,07180,Sarud,27.8,35,15.2
12441,28699,Tiszaigar,37.1,39,17.2
12441,10773,Tiszabő,27.7,36,17.4
12441,15787,Tiszaörs,35.6,38,17.8
12441,23171,Kunmadaras,28.1,34,18.3
12441,19567,Pély,36.3,50,18.8
12441,16160,Tarnaszentmiklós,29.1,38,19.0
12441,29726,Tiszafüred,27.4,35,20.1
12441,17695,Tiszasüly,29.7,38,20.5
12441,17145,Kenderes,27.8,34,20.8
12548,11730,Orfű,8.1,10,4.9
12548,07126,Hetvehely,13.4,18,6.2
12548,05430,Magyarhertelend,11.7,14,6.6
12548,15538,Kővágószőlős,21.8,25,7.0
12548,23162,Bükkösd,10.8,12,8.0
12548,22600,Magyarszék,16.7,19,9.5
12548,16285,Mindszentgodisa,14.7,18,9.8
12548,32160,Sásd,17.2,21,12.1
12548,19415,Pécs,19.2,24,12.3
12548,33066,Ibafa,55.7,62,12.3
12548,13310,Bicsérd,29.4,33,12.6
12548,15866,Szentlőrinc,21.9,24,12.9
12548,26408,Komló,27.5,32,13.9
12548,16115,Pellérd,25.0,30,14.3
12548,15079,Szabadszentkirály,27.3,30,15.5
12548,33233,Gödre,26.9,30,17.0
12548,02264,Vásárosdombó,23.1,25,18.3
12548,30438,Görcsöny,32.9,40,18.8
12548,27164,Nagypeterd,27.7,29,18.8
12548,29540,Mozsgó,43.0,46,19.2
24554,34324,Pálosvörösmart,3.7,5,2.4
24554,16540,Markaz,4.2,6,3.1
24554,05236,Gyöngyös,9.3,12,3.9
24554,31246,Visonta,5.1,9,4.4
24554,11411,Halmajugra,8.0,14,6.7
24554,07515,Domoszló,8.9,11,6.8
24554,19123,Gyöngyössolymos,12.4,20,7.9
24554,09201,Detk,17.4,24,9.0
24554,07436,Parád,30.2,33,9.6
24554,05935,Karácsond,13.8,18,10.0
24554,13338,Gyöngyösoroszi,18.7,25,10.7
24554,05759,Vécs,14.0,22,10.8
24554,17534,Gyöngyöshalász,15.2,18,11.8
24554,28088,Gyöngyöstarján,19.5,27,13.4
24554,23241,Adács,20.1,25,14.4
24554,06345,Aldebrő,28.9,33,14.5
24554,14933,Bodony,30.4,34,14.8
24554,31486,Nagyréde,19.3,24,15.0
24554,09609,Recsk,32.9,36,15.2
24554,14872,Mátraderecske,36.8,41,15.6
15662,14474,Boldogkőváralja,8.8,11,4.1
15662,26718,Abaújkér,6.4,7,5.1
15662,03595,Abaújszántó,7.3,10,5.5
15662,12210,Tállya,14.1,17,7.5
15662,21087,Vizsoly,14.6,17,9.6
15662,03902,Mád,22.9,33,11.0
15662,25618,Méra,18.3,20,11.0
15662,12469,Rátka,16.8,22,11.1
15662,22503,Erdőhorváti,23.0,30,11.9
15662,33048,Encs,36.9,30,12.2
