rank,ksh_code,name,county,population,active_gp_count,gps_per_1000,access_class,access_band,is_desert,nearest_gp_km,nearest_gp_minutes,nearest_gp_settlement,nearest_gp_method,vacant_count,persistently_vacant_count,longest_vacancy_days,centroid_lat,centroid_lon
1,17066,Keresztéte,Borsod-Abaúj-Zemplén,21,0,0.0,desert,0,1,20.0,24.0,Baktakék,road,1,1,242,48.50447,20.95524
2,33808,Bodrogkisfalud,Borsod-Abaúj-Zemplén,754,0,0.0,desert,0,1,19.9,35.0,Timár,road,1,1,365,48.19743,21.42183
3,12371,Pamlény,Borsod-Abaúj-Zemplén,58,0,0.0,desert,0,1,19.9,24.0,Baktakék,road,1,1,242,48.49922,20.92667
4,30678,Fenyőfő,Győr-Moson-Sopron,92,0,0.0,desert,0,1,19.0,34.0,Bakonyszentkirály,road,1,1,1734,47.32465,17.75671
5,16133,Rakacaszend,Borsod-Abaúj-Zemplén,224,0,0.0,desert,0,1,18.9,20.0,Szendrő,road,1,1,3560,48.45569,20.83811
6,15617,Zalkod,Borsod-Abaúj-Zemplén,178,0,0.0,desert,0,1,18.9,33.0,Timár,road,1,1,1004,48.1863,21.45756
7,24846,Heresznye,Somogy,257,0,0.0,desert,0,1,18.6,24.0,Csokonyavisonta,road,1,1,4048,46.06582,17.28075
8,25742,Kány,Borsod-Abaúj-Zemplén,62,0,0.0,desert,0,1,18.4,20.0,Baktakék,road,1,1,242,48.5125,21.01825
9,03717,Tiszadorogma,Borsod-Abaúj-Zemplén,333,0,0.0,desert,0,1,18.3,29.0,Tiszacsege,road,1,1,1642,47.69721,20.86051
10,02291,Tiszabábolna,Borsod-Abaúj-Zemplén,259,0,0.0,desert,0,1,18.1,22.0,Poroszló,road,1,1,1642,47.69554,20.80365
11,32841,Szentborbás,Somogy,103,0,0.0,desert,0,1,17.7,20.0,Kétújfalu,road,1,1,6574,45.8696,17.65798
12,30234,Mesterszállás,Jász-Nagykun-Szolnok,635,0,0.0,desert,0,1,17.1,21.0,Martfű,road,1,1,1887,46.93914,20.45279
13,27508,Szágy,Baranya,114,0,0.0,desert,0,1,17.0,25.0,Sásd,road,1,1,1369,46.22132,17.93925
14,05069,Györgytarló,Borsod-Abaúj-Zemplén,463,0,0.0,desert,0,1,16.7,23.0,Tiszakarád,road,1,1,7943,48.21711,21.63195
15,15680,Jósvafő,Borsod-Abaúj-Zemplén,249,0,0.0,desert,0,1,16.7,21.0,Ragály,road,1,1,3926,48.49619,20.55668
16,08147,Szászfa,Borsod-Abaúj-Zemplén,95,0,0.0,desert,0,1,16.7,19.0,Baktakék,road,1,1,242,48.47318,20.93627
17,32683,Perecse,Borsod-Abaúj-Zemplén,16,0,0.0,desert,0,1,16.7,19.0,Baktakék,road,1,1,242,48.51212,20.98835
18,09432,Ecsegfalva,Békés,1008,0,0.0,desert,0,1,16.6,20.0,Kisújszállás,road,1,1,4383,47.14097,20.92838
19,09362,Aggtelek,Borsod-Abaúj-Zemplén,443,0,0.0,desert,0,1,16.5,21.0,Ragály,road,1,1,3926,48.49214,20.51742
20,10968,Mogyoróska,Borsod-Abaúj-Zemplén,77,0,0.0,desert,0,1,16.5,20.0,Boldogkőváralja,road,1,1,2495,48.37038,21.34437
21,05096,Viss,Borsod-Abaúj-Zemplén,463,0,0.0,desert,0,1,16.4,29.0,Timár,road,1,1,7578,48.22097,21.50752
22,05193,Szorosad,Somogy,92,0,0.0,desert,0,1,16.3,21.0,Nagykónyi,road,1,1,4109,46.59026,18.03113
23,05005,Irota,Borsod-Abaúj-Zemplén,76,0,0.0,desert,0,1,16.3,22.0,Homrogd,road,1,1,2373,48.40764,20.88025
24,08819,Felsőszentmárton,Baranya,715,0,0.0,desert,0,1,16.2,19.0,Sellye,road,1,1,1308,45.85181,17.6968
25,19813,Kétpó,Jász-Nagykun-Szolnok,566,0,0.0,desert,0,1,16.2,19.0,Mezőtúr,road,1,1,2342,47.0631,20.46022
26,14702,Kissikátor,Borsod-Abaúj-Zemplén,280,0,0.0,desert,0,1,16.0,22.0,Ózd,road,1,1,730,48.1825,20.1414
27,28635,Teresztenye,Borsod-Abaúj-Zemplén,22,0,0.0,desert,0,1,15.9,21.0,Bódvaszilas,road,1,1,1246,48.45732,20.60251
28,16407,Tótújfalu,Somogy,190,0,0.0,desert,0,1,15.8,19.0,Kétújfalu,road,1,1,6574,45.90616,17.65037
29,29780,Vízvár,Somogy,419,0,0.0,desert,0,1,15.6,19.0,Berzence,road,1,1,4048,46.10077,17.2492
30,15981,Somogydöröcske,Somogy,134,0,0.0,desert,0,1,15.5,22.0,Kisbárapáti,road,1,1,4109,46.59123,18.00632
31,23977,Büttös,Borsod-Abaúj-Zemplén,139,0,0.0,desert,0,1,15.4,17.0,Baktakék,road,1,1,242,48.48416,21.02062
